input,output,target_ie,target_ns,target_tf,winner_ie,winner_ns,winner_tf
"If you're looking for friends, you found one.",If its friends you are looking for you found one.,E,N,F,Input,Input,Input
"I felt like a flower, new to this life.","I was a flower, new to this life.",E,N,F,Output,Output,Input
I was affected by the weeds that grew around me.,Vulnerable to the weeds that grew around me.,E,N,F,Input,Output,Output
I was wondering why the other types are here talking about us; are we that well liked?,I was wondering why all the other types are here telling us about us are we that well liked?,E,N,F,Input,Output,Input
"When it hurts your feelings because of someone else, anyone else.","10.when it hurts your feelings that someone elses ,anyone elses.",E,N,F,Input,Input,Input
Thanks everyone for the welcome.,thank you all for the warm welcomes.,E,N,F,Output,Input,Output
"I'm new to these forums and don't have much to say right now, so hi everyone.",i am new to these forums yet i don't have much to say currently except hi all.,E,N,F,Input,Input,Input
I remember before I started smoking my moods were more varied and I could describe those changes in detail.,"I remember before smoking, I actually had different moods and shades of colors and vivid detail to describe those shifting moods.",E,N,F,Output,Output,Output
"I've experimented for a while and had transcendental-like experiences that didn't change my perspective long-term, though they did have short-term effects.","I've experimented for a while and have had transcendental like experiences which didn't really end up altering my perspective for the long-term but with short term, definitely.",E,N,F,Output,Input,Output
I don't enjoy doing this.,anyways... i don't like doing this.,E,N,F,Output,Input,Input
I can be persuasive.,i have the power of persuasion.,E,N,F,Output,Output,Input
Sometimes I'm more aware of how people around me feel than how I feel.,To be honest I believe sometimes Im more aware of what people are feeling around me than of myself.,E,N,F,Input,Input,Output
These behavioral changes seem to come from my surroundings and the people around me.,I believe these behavioral changes occur due to my surroundings and the people around me.,E,N,F,Input,Input,Input
It's good to see another new user on the site who is interested in the same things.,Nice to see another noobie like myself join the site who is also interested in the same things.,E,N,F,Output,Input,Output
I'm new to the site and interested in the ideas people are sharing and the people behind them.,Im new to the site and curious as to what ideas are floating around and curious about the people imagining them.,E,N,F,Input,Output,Input
"I do better in groups when I can share ideas, get feedback, and socialize.","I work better in groups when I am able to bounce my ideas around, get feedback, and socialize.",E,N,F,Output,Output,Input
"It seems like we're in a fairly happy, healthy relationship.",We are in a very happy and healthy relationship.,E,N,F,Output,Input,Output
"If possible, can someone help me figure this out?","If possible, could someone help me figure it out?",E,N,F,Input,Output,Output
"I'm a teacher in New England, just to give context since education varies by location.",I'm a teacher in New England (to give context since education varies all over the place).,E,N,F,Output,Input,Output
"We get along well, though we do have some differences.","We get along so well, but we do have our differences.",E,N,F,Output,Input,Output
It seems many people don't use their abilities to make positive change.,I think a lot of people avoid using their abilities for positive change.,E,N,F,Output,Input,Output
It seems like a lot of people are denying their abilities or choosing not to use them.,I also think a lot of people are denying their abilities or choosing not use them.,E,N,F,Output,Input,Output
It seems strange that humanity might be lacking in vision and stuck with this aspect of the human condition.,"I find it hard to believe humanity is so lacking in vision, that we're stuck with this for the human condition.",E,N,F,Output,Input,Output
It seems easier and more profitable to make and enjoy escapism than to try to save the world.,I understand that making and enjoying escapism is far easier and more profitable than saving the world.,E,N,F,Output,Input,Output
It gives me enough courage to go out into the real world and have my perspective challenged.,"The good thing is, it gets my courage up enough to head out into the real world and have my world challenged.",E,N,F,Input,Input,Input
Try to let it come more from the heart than the head.,come from the heart and not from the brain.,E,N,F,Input,Input,Input
What could make the UN stronger?,what would make the UN stronger?,E,N,F,Input,Input,Input
Could you change my name from 'starfairy' to 'MsBrightside'?,Will you please change my name from starfairy to MsBrightside .,E,N,F,Output,Output,Output
I found this today and wanted to share it.,I just came across this today and thought i'd share it.,E,N,F,Output,Output,Output
Personality can change over time.,your personality can change over time.,E,N,F,Output,Input,Output
"Thanks for the help, I appreciate it.","Thanks so much for the help, I appreciate it!",E,N,F,Output,Input,Output
Can you explain your reasoning for this?,May I ask what your reasoning is behind this?,E,N,F,Input,Output,Output
Respecting her culture and wishes is part of being in a relationship.,Respecting her culture and desires is part of being in a relationship.,E,N,F,Output,Output,Output
"Talk to them, hear their side first, and then decide if you can stay with her.",I think you need to confront them regardless and hear out their side then decide if you can continue to be with her.,E,N,F,Output,Input,Input
It might help to take some time to think about why you did it and talk openly with your girlfriend about any doubts you may have in the relationship.,"I think the most important thing to do in this situation is take some time to think of why you did what you did and have an honest, open discussion with your girlfriend about the doubts you may have in your relationship.",E,N,F,Output,Output,Output
"First, talk with your friends and ask them to respect your relationship.",First talk to your friends about respecting your relationship.,E,N,F,Input,Input,Input
Then sit down and talk with your girlfriend about your feelings.,Then sit down and have a talk with your girlfriend about your feelings.,E,N,F,Input,Input,Input
I'll spend 20 minutes of my hour prep period today phone banking for the first time since I realized I should have done it earlier.,Going to spend 20 minutes of my 1hr prep period today phone banking for the first time because I know I should have already.,E,N,F,Input,Input,Input
Have you dialed the number and entered the PIN?,Have you dialed in the number and entered a pin?,E,N,F,Input,Input,Input
It helps to talk about it with other bird parents.,Being able to talk about it with other bird parents is really comforting.,E,N,F,Output,Output,Output
"I spend hours each week writing comments, statuses, and tweets to respond to things that seem like fear-mongering or overly pessimistic messages.",I find myself spending hours a week formulating comments and statuses and tweets to rebuttal all of the fear mongering hopeless bullshit I hear.,E,N,F,Output,Output,Output
"As a high school choir teacher, that's good to hear.","As a high school choir teacher, this is really nice to hear!",E,N,F,Output,Input,Output
I'd try using your own words and point out things about your partner that someone who cares for them would notice and appreciate.,"I would try to use your words, play to things inside your partner that only someone who loves them can know and appreciate.",E,N,F,Input,Output,Output
"Spend time building intimacy, but try to clearly share the feelings you have that the other person might not be noticing.","Spend time building intimacy, but really communicating the feelings you have on the inside that the is having trouble detecting.",E,N,F,Input,Output,Output
"If it seems like they're seriously depressed and these methods aren't working, getting professional help can show you care, make it clearer they have support, and help address the problem from outside the relationship.","If they are really depressed, and these methods don't seem to be working, Professional help is a great way of a) Letting them know you care about them and want them to be better but b) helping to address the issue from outside the relationship.",E,N,F,Output,Input,Output
"People are generally friendly and welcoming, I went with friends last year, and when music tastes differ it's usually easy to fit in with others who like the same things, and most people seem to be there to enjoy and share a good time.",Everyone is so nice and welcoming - I went with friends last year and when music tastes vary you can so easily mesh in with others who enjoy what you enjoy - everyone is there to both have and share a good time.,E,N,F,Output,Output,Output
It seemed clear from what you wrote.,So glad i was able to tell from your words.,E,N,F,Output,Output,Output
Sometimes it helps when my best friend keeps asking me questions until we figure out the issue together.,What sometimes helps is when my best friend keeps asking me questions until we are able to work out the issue together.,E,N,F,Input,Output,Input
"It probably won't be easy and you may get distracted, but it seems like you have some strength, deserve care and support, and could recover from this.","It won't be easy and you might find yourself easily distracted, but you are a good, strong person who is worthy of love and affection and who will recover from this thing.",E,N,F,Output,Input,Output
Communication issues like that can often be resolved if both people reach a point where they understand how the other expresses love and respect.,I think challenges like communication can be overcome if both parties reach a point where they fully understand how the other expresses love and respect.,E,N,F,Input,Output,Output
It might help to focus more on the people in your life than on your personal wants.,You need to start caring about the other people in your life more than your personal wants.,E,N,F,Input,Input,Output
"It usually takes me a little while for mutual trust to develop in my relationships, but it's worth the effort in the long run.","It always takes me a little while to reach a point in my relationships where we have a lot of mutual trust, but it is always worth the effort.",E,N,F,Output,Input,Input
"If you don't mind, could you describe how social anxiety affects your life?","If you don't mind, can you describe how social anxiety impacts your life?",E,N,F,Output,Input,Input
"Stories like yours suggest that not everyone with a felony record keeps living a life of crime, as many people assume.",Stories such as yours makes me happy because it proves that not all felons continue a life of crime as many people like to think.,E,N,F,Output,Input,Output
I'm having a hard time realizing I need to cut ties with the person who raised me after several attempts to fix our relationship.,I'm going through some shit realizing that I have to cut off the very person who raised me after trying multiple times to salvage our relationship.,E,N,F,Output,Input,Output
I can imagine how the mother felt at that point.,I can only imagine how the mother must have felt at that point.,E,N,F,Input,Output,Input
"You might want to retake this video so it's clearer, because it's interesting.","You really should retake this video a lot better, because it's really interesting.",E,N,F,Output,Input,Output
You usually don't exceed your self-esteem.,you cannot outperform your level of self-esteem .,E,N,F,Input,Output,Input
You'll only produce what you think you're capable of.,you will only produce what you truly believe you are capable of .,E,N,F,Input,Output,Output
How you react to success can say more than the success itself.,how you react to success says more than success itself .,E,N,F,Output,Input,Input
